-106669949.44005219638347625732,-14585156.13282516039907932281,5939509.08284051623195409775
-106086310.46958668529987335205,-17571312.52467320114374160767,5854459.57691405341029167175
-105431520.18080286681652069092,-20503522.34626920521259307861,5767651.10839036386460065842
-104715499.58500662446022033691,-23384057.29336176067590713501,5680165.34210509806871414185
-103946812.92453102767467498779,-26217410.23279068619012832642,5592842.92989543173462152481
-103132173.57043108344078063965,-29009867.83353726193308830261,5506236.02086964063346385956
-102276064.71973103284835815430,-31768984.04462419077754020691,5420578.01932646241039037704
-101380502.81310571730136871338,-34502971.89440351724624633789,5335773.51277459040284156799
-100444956.11914095282554626465,-37220057.86669199913740158081,5251408.50899240188300609589
-99466424.22403666377067565918,-39927836.17038074880838394165,5166780.52655347250401973724
-98439673.22581085562705993652,-42632663.59902976453304290771,5080946.62245865073055028915
-97357612.20126977562904357910,-45339132.03680718690156936646,4992786.41781355813145637512
-96211787.70678664743900299072,-48049651.25700049847364425659,4901076.23356725741177797318
-94992965.84511806070804595947,-50764167.75723817199468612671,4804569.77287284564226865768
-93691766.02983722090721130371,-53480037.04003258049488067627,4702080.38125590700656175613
-92299307.39904183149337768555,-56192057.29491697996854782104,4592559.81932920869439840317
-90807828.04814359545707702637,-58892662.51028626412153244019,4475168.69698467943817377090
-89211238.92130465805530548096,-61572263.23208881169557571411,4349334.23091002926230430603
-87505578.21815054118633270264,-64219714.10153349488973617554,4214791.76699337176978588104
-85689338.29008416831493377686,-66822879.50234919041395187378,4071607.50783402705565094948
-83763644.84237237274646759033,-69369262.61025127768516540527,3920181.04170552361756563187
-81732277.34179799258708953857,-71846659.23446044325828552246,3761227.51180312363430857658
-79601529.29623779654502868652,-74243796.31349949538707733154,3595740.51701358798891305923
-77379916.92122107744216918945,-76550915.86904898285865783691,3424938.02072465745732188225
-75077754.03346842527389526367,-78760268.57444597780704498291,3250194.58942835079506039619
-72706619.23894318938255310059,-80866486.65220746397972106934,3072964.12376433424651622772
-70278748.10692964494228363037,-82866813.23584601283073425293,2894697.82946692639961838722
-67806387.63457411527633666992,-84761174.15869683027267456055,2716762.46844381839036941528
-65301152.62442619353532791138,-86552087.82344599068164825439,2540363.91291787708178162575
-62773423.47816710174083709717,-88244418.76436266303062438965,2366480.69926661346107721329
-60231822.36027862131595611572,-89844990.12727808952331542969,2195811.66297346865758299828
-57682799.86269887536764144897,-91362078.96874487400054931641,2028740.86980575788766145706
-55130357.50225829333066940308,-92804825.48178294301033020020,1865321.99425257416442036629
-52575923.02512092888355255127,-94182592.54789440333843231201,1705283.09984966414049267769
-50018386.09075991809368133545,-95504315.06801976263523101807,1548051.52089091576635837555
-47454292.04053283482789993286,-96777879.15101210772991180420,1392797.30839100619778037071
-44878181.72972666472196578979,-98009569.39851589500904083252,1238492.56109563354402780533
-42283056.41535424441099166870,-99203618.33303703367710113525,1083982.98509425180964171886
-39660938.99785120785236358643,-100361885.72936910390853881836,928067.27329384314361959696
-37003496.98646934330463409424,-101483687.61515064537525177002,769579.41493942437227815390
-34302688.76029573380947113037,-102565785.49597610533237457275,607468.86511526908725500107
-31551393.26308264210820198059,-103602536.50077253580093383789,440873.63581532018724828959
-28743984.28865157440304756165,-104586195.24065445363521575928,269181.80563665746012702584
-25876813.92187634855508804321,-105507348.83836054801940917969,92077.65763270239403937012
-22948575.28847292810678482056,-106355458.39001139998435974121,-90430.39946497196797281504
-19960522.19125961512327194214,-107119473.57046724855899810791,-278001.85076370160095393658
-16916532.01444885134696960449,-107788482.59100164473056793213,-469976.53282108355779200792
-13823007.91927973367273807526,-108352357.54030758142471313477,-665406.76935515576042234898
-10688626.24077410250902175903,-108802355.42102144658565521240,-863107.21445231314282864332
-7523944.51836384367197751999,-109131637.91665256023406982422,-1061719.34329869830980896950
-4340894.16677663661539554596,-109335677.92057362198829650879,-1259786.62932327133603394032
