Date,Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z
1964-09-01,9.802199244085638E+07,4.642302977637733E+07,-5.009534633671509E+06,-1.684109527137714E+01,3.116917644710585E+01,1.515031367315242E+00
1964-09-02,9.653499187524155E+07,4.907755704055130E+07,-4.878072582196962E+06,-1.755923216892169E+01,3.028081423653738E+01,1.525763060655501E+00
1964-09-03,9.499122220988746E+07,5.165640623812624E+07,-4.746248734206982E+06,-1.815727549653820E+01,2.942191728527895E+01,1.523811814856671E+00
1964-09-04,9.340042829667915E+07,5.416324768378011E+07,-4.615044157160893E+06,-1.865086756107567E+01,2.861783623832687E+01,1.511939295150816E+00
1964-09-05,9.177075238891289E+07,5.660374483466972E+07,-4.485176545525432E+06,-1.906126672489059E+01,2.788912547366469E+01,1.493448913410651E+00
1964-09-06,9.010830447480473E+07,5.898508422520266E+07,-4.357062009898666E+06,-1.941401051409529E+01,2.725031032080247E+01,1.471982331300987E+00
1964-09-07,8.841686001937500E+07,6.131541435515086E+07,-4.230795432215240E+06,-1.973731832623161E+01,2.670902305421939E+01,1.451295384267370E+00
1964-09-08,8.669770349837044E+07,6.360322784417534E+07,-4.106150580847751E+06,-2.006033116641807E+01,2.626556033457923E+01,1.435027091350266E+00
1964-09-09,8.494962721526155E+07,6.585672462418563E+07,-3.982599974393535E+06,-2.041129577828617E+01,2.591288907039795E+01,1.426475837349180E+00
1964-09-10,8.316908542101371E+07,6.808319509605169E+07,-3.859353278597258E+06,-2.081580392645073E+01,2.563710032908676E+01,1.428396376503580E+00
1964-09-11,8.135049428380394E+07,7.028846095862284E+07,-3.735411890641000E+06,-2.129519422417274E+01,2.541828360515288E+01,1.442830037228333E+00
1964-09-12,7.948665935973839E+07,7.247640790008575E+07,-3.609636377852403E+06,-2.186521398833825E+01,2.523176812074281E+01,1.470978482957477E+00
1964-09-13,7.756930443837219E+07,7.464863873892328E+07,-3.480822653931115E+06,-2.253502274825859E+01,2.504965545263022E+01,1.513128728256786E+00
